 
GNB_CV	PART	FILTER	FEATS	ACC_TR	AUC_TR	ACC_TST	AUC_TST	TIME
69	3	ALL	4635	0,8205128205128205	0,8607471926288511	0,8	0,8285	0,234940767288208
69	4	ALL	4635	0,8012820512820513	0,84508555797787	0,7677419354838709	0,7975833333333333	0,2453455924987793
69	5	ALL	4635	0,8189102564102564	0,8637653736991485	0,7677419354838709	0,8055	0,25199437141418457

69	1	Chi2	20	0,7845659163987139	0,8333385081918009	0,6942675159235668	0,7833008447043535	0,12012171745300293
69	2	Chi2	20	0,7668810289389068	0,8214259839993376	0,643312101910828	0,7210851202079271	0,12293744087219238
69	3	Chi2	20	0,7339743589743589	0,7930360742050924	0,6903225806451613	0,7471666666666666	0,15884017944335938
69	4	Chi2	20	0,6762820512820513	0,7564271317510591	0,5935483870967742	0,7145833333333333	0,14938855171203613
69	5	Chi2	20	0,6907051282051282	0,8117004648101682	0,5741935483870968	0,65	0,11218643188476562
 
Log file store in ,/logs/log_Chi2_50_19,txt 
 
 
GNB_CV	PART	FILTER	FEATS	ACC_TR	AUC_TR	ACC_TST	AUC_TST	TIME
19	1	ALL	4635	0,8086816720257235	0,8746494033388188	0,7197452229299363	0,7871994801819362	0,2494521141052246
19	2	ALL	4635	0,8118971061093248	0,8910433549642418	0,6242038216560509	0,7716861598440546	0,24010539054870605
19	3	ALL	4635	0,8205128205128205	0,8607471926288511	0,8	0,8285	0,21929168701171875
19	4	ALL	4635	0,8012820512820513	0,84508555797787	0,7677419354838709	0,7975833333333333	0,25256848335266113
19	5	ALL	4635	0,8189102564102564	0,8637653736991485	0,7677419354838709	0,8055	0,25890421867370605

19	1	Chi2	50	0,7845659163987139	0,8586021672307262	0,6942675159235668	0,7732293697205979	0,12476968765258789
19	2	Chi2	50	0,8118971061093248	0,8730400223553885	0,6624203821656051	0,7440708252111761	0,15683817863464355
19	3	Chi2	50	0,7451923076923077	0,8442474599975319	0,7419354838709677	0,8071666666666667	0,13783693313598633
19	4	Chi2	50	0,719551282051282	0,8212948870881494	0,6451612903225806	0,7479166666666667	0,10024380683898926
19	5	Chi2	50	0,7243589743589743	0,8385041750647856	0,6193548387096774	0,7468333333333333	0,06725621223449707
 
Log file store in ,/logs/log_Chi2_50_42,txt 
 
 
GNB_CV	PART	FILTER	FEATS	ACC_TR	AUC_TR	ACC_TST	AUC_TST	TIME
42	1	ALL	4635	0,8086816720257235	0,8746494033388188	0,7197452229299363	0,7871994801819362	0,2632133960723877
42	2	ALL	4635	0,8118971061093248	0,8910433549642418	0,6242038216560509	0,7716861598440546	0,24931740760803223
42	3	ALL	4635	0,8205128205128205	0,8607471926288511	0,8	0,8285	0,23487496376037598
42	4	ALL	4635	0,8012820512820513	0,84508555797787	0,7677419354838709	0,7975833333333333	0,23433399200439453
42	5	ALL	4635	0,8189102564102564	0,8637653736991485	0,7677419354838709	0,8055	0,2346799373626709

42	1	Chi2	50	0,7845659163987139	0,8586021672307262	0,6942675159235668	0,7732293697205979	0,10821247100830078
42	2	Chi2	50	0,8118971061093248	0,8730400223553885	0,6624203821656051	0,7440708252111761	0,10082817077636719
42	3	Chi2	50	0,7451923076923077	0,8442474599975319	0,7419354838709677	0,8071666666666667	0,06917643547058105
42	4	Chi2	50	0,719551282051282	0,8212948870881494	0,6451612903225806	0,7479166666666667	0,06505298614501953
42	5	Chi2	50	0,7243589743589743	0,8385041750647856	0,6193548387096774	0,7468333333333333	0,06177544593811035
 
Log file store in ,/logs/log_Chi2_50_69,txt 
 
 
GNB_CV	PART	FILTER	FEATS	ACC_TR	AUC_TR	ACC_TST	AUC_TST	TIME
69	1	ALL	4635	0,8086816720257235	0,8746494033388188	0,7197452229299363	0,7871994801819362	0,24855375289916992
69	2	ALL	4635	0,8118971061093248	0,8910433549642418	0,6242038216560509	0,7716861598440546	0,24533605575561523
69	3	ALL	4635	0,8205128205128205	0,8607471926288511	0,8	0,8285	0,2419910430908203
69	4	ALL	4635	0,8012820512820513	0,84508555797787	0,7677419354838709	0,7975833333333333	0,2550680637359619
